DateTime,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71
2003-10-31,300588,932,401,832,686,816,554,868,300735,669,892,798,626,603168,300682,300298,629,667,511,300049,300237,548,543,600240,670,603886,603179,603159,300627,733,893,918,603111,519,596,531,856,581,300365,601,600317,603598,300352,910,603396,300576,603876,415,760,819,300536,300058,603895,300589,300697,949,19,859,603315,799,603488,536,9,676,300378,300630,300082,300612,965,603869,300550,652
2003-11-28,300424,892,686,300735,932,798,300588,401,832,868,967,626,300027,629,300627,300399,600234,543,531,667,600233,959,596,603198,300682,625,513,300569,631,603197,300681,300743,603585,300535,600939,300013,737,300295,300652,300684,750,603158,600297,718,603557,300061,300511,603889,603323,826,825,778,603396,34,963,813,300154,603,300548,920,300661,300550,300030,300637,619,603533,300718,300578,300582,603316,519,603869
2003-12-31,401,798,300588,600329,892,868,667,300282,626,603886,548,300729,629,631,300013,600233,300027,549,600939,300743,952,300706,300639,300682,600253,573,300569,698,793,543,300627,300629,596,300538,603589,300626,300241,300016,603329,600293,675,411,600302,300329,603197,300136,300495,23,300458,603232,300163,300548,603363,300660,300695,685,300489,788,300072,300038,300074,158,300555,552,750,300712,300342,603308,300606,300413,300122,300735
2004-01-30,600257,401,892,300588,300627,626,543,667,300569,629,549,300743,600233,300027,893,593,300013,510,300501,631,625,429,831,511,600234,600939,886,300535,300109,978,887,600279,890,300687,300237,65,300540,909,300550,600286,300702,300598,300292,600322,300300,731,628,300137,603386,300596,603557,406,300012,600278,813,300680,300739,300014,571,300158,600229,600236,300061,920,300729,400,300745,603260,707,520,603305,868
2004-02-27,300138,300588,401,892,667,626,300027,300268,543,300743,603098,300359,300008,156,758,815,833,300627,603520,300136,762,629,300304,803,600237,300339,300618,595,900,300234,300491,300711,300040,300293,603600,603386,920,967,300012,6,601,600235,300538,603266,300284,300307,300654,300699,300718,300737,300521,410,45,603232,765,7,710,801,300266,300525,56,569,600346,70,698,20,515,300571,300163,619,534,400
2004-03-31,401,300588,300258,603603,892,667,626,300743,511,600234,629,300357,603886,300399,549,600273,793,600233,300569,600295,300199,300384,300629,548,839,300382,818,300098,603598,300615,300374,300123,603499,600260,733,603518,672,45,300359,600219,603477,300535,600346,300042,300307,300658,761,953,50,927,553,616,800,603222,4,670,792,7,55,778,300733,300624,603229,300636,300071,300722,565,546,889,300158,822,603233
2004-04-30,892,300588,555,300559,300258,755,721,603603,300399,300027,300658,626,61,667,422,600345,300440,300031,603388,903,893,300008,300566,528,300661,603099,611,300536,603326,603226,762,600296,300082,948,625,603338,731,2805,300717,300498,687,776,300368,300013,929,430,738,300604,300746,300132,600235,799,603348,552,715,65,300624,726,300370,300569,300509,300279,600337,693,600317,300333,600,603186,509,656,897,300097
2004-05-31,300505,651,300503,686,300588,300138,300560,300559,405,603603,932,603858,603131,300521,600303,892,300258,721,603871,630,603887,13,603608,755,555,603303,613,300027,667,300719,300658,600285,738,300399,300008,600234,300092,600219,409,603208,600333,603517,672,29,698,300022,516,300578,603926,603368,620,300183,300609,565,38,750,584,600346,513,300262,300659,300093,300169,157,300536,300662,300494,795,400,300520,300057,603239
2004-06-30,603601,990,300003,999,997,300505,405,300588,555,613,630,651,686,721,755,603608,603858,300560,603887,932,300258,603131,300138,603303,603603,300559,603871,13,600303,300503,300521,300399,667,893,300743,629,300093,603926,556,603196,2189,300368,300231,300078,300284,300530,626,600273,300142,603138,2805,600231,300569,300199,661,300707,38,603229,300534,513,300027,300012,300108,544,300750,603228,300739,300038,590,726,600278,892
2004-07-30,630,603131,300258,300505,300521,651,300503,49,755,603858,600303,405,721,300588,13,932,300138,613,555,603887,603608,300560,603603,603871,300559,686,667,300743,629,600354,300658,300237,600313,300506,300671,677,300362,603477,603601,34,300659,603166,300627,300346,1965,600235,19,300365,300399,45,300461,826,1896,300569,300478,300338,300012,603926,893,300027,300630,578,300330,300723,300604,977,623,300622,626,599,603895,300034
2004-08-31,651,755,721,686,603887,49,603608,603871,603858,300138,514,630,613,300560,932,300505,603131,405,300503,300559,300521,600303,300258,555,13,629,300743,549,631,600939,677,603328,300449,603879,548,600253,300118,300659,300478,600233,828,603337,600009,300738,600319,698,658,889,300119,56,683,300723,893,707,300072,300508,300496,802,600239,300742,300074,300434,803,300589,600278,676,300611,728,825,923,936,736
2004-09-30,755,300138,932,405,603871,300678,603298,603516,721,686,300560,300559,603858,300258,651,13,630,603887,600303,300521,613,555,514,300505,300503,603608,603131,667,677,549,629,300449,600354,793,603110,300658,300747,603600,300687,970,603320,421,300696,603313,603303,603133,406,300310,300586,300137,300595,778,600250,603260,663,300499,300460,300536,603139,603198,893,603880,802,584,603233,698,603557,300162,539,300233,603444,300305
2004-10-29,555,300678,603298,603131,300258,603516,600303,300521,300138,630,514,405,603858,300505,300503,755,300237,300743,932,629,300449,631,948,300686,667,300631,603100,603881,603860,818,300032,603386,815,883,600309,603203,967,300581,300310,300639,995,600278,300592,300294,300115,600261,603596,300580,603303,603885,893,300107,300604,600346,300491,600262,542,26,776,413,545,971,600291,859,506,543,600312,557,600331,603886,300550,300233
2004-11-30,300258,755,405,603131,600303,555,300505,300503,630,36,514,667,300237,659,300743,548,300184,300002,603123,629,839,757,300259,600353,820,699,818,603306,300615,720,600316,603860,300110,600197,402,96,50,911,768,429,300695,300545,300504,509,300027,526,411,553,300541,300432,300313,300552,513,300525,730,863,300374,590,599,544,300295,859,300664,300379,413,950,938,300679,300152,787,723,603320
2004-12-31,405,555,755,630,300005,667,548,300682,300334,300743,611,425,300686,603319,300501,603305,300320,300449,603596,300717,609,300110,600309,300241,2798,300617,903,600313,300711,625,300002,603208,913,603090,300370,603258,416,300647,603158,703,155,300013,603166,300720,875,300657,300038,300621,300541,895,905,300705,731,300041,565,785,50,516,300635,600219,420,300557,623,571,584,300269,987,300057,563,600331,956,603131
